to_be_index,t
0,84.06445837
1,84.64637422
2,93.33034915
3,92.34556849
4,98.70188004
5,88.94359893
6,79.31960609
7,83.88540734
8,82.81110116
9,75.15666965
10,84.73589973
11,88.98836168
12,86.0340197
13,83.21396598
14,92.03222919
15,94.80752014
16,98.79140555
17,89.16741271
18,85.18352731
19,80.43867502
20,78.1557744
21,84.78066249
22,84.51208594
23,87.6007162
24,84.64637422
25,84.82542525
26,94.80752014
27,89.3912265
28,91.89794091
29,91.58460161
30,90.15219338
31,78.64816473
32,79.18531782
33,74.5747538
34,76.0519248
35,86.25783348
36,94.2256043
37,92.21128021
38,107.1172784
39,93.68845121
40,101.29812
41,96.73231871
42,82.27394808
43,78.73769024
44,83.70635631
45,87.37690242
46,86.30259624
47,98.16472695
48,98.29901522
49,97.49328559
50,108.1915846
51,103.2676813
52,121.038496
53,101.1638317
54,95.65801253
55,86.57117278
56,82.31871083
57,87.77976723
58,96.01611459
59,97.62757386
60,115.0850492
61,108.9525515
62,120.1432408
63,111.2354521
64,116.2936437
65,115.7117278
66,106.2220233
67,102.5962399
68,97.31423456
69,101.3876455
70,108.3258729
71,117.0993733
72,127.1709937
73,109.9373321
74,129.8119964
75,128.4691137
76,135.4073411
77,128.4691137
78,116.1593554
79,103.7600716
80,107.0725157
81,117.2336616
82,115.6222023
83,126.8576544
84,107.564906
85,103.9838854
86,121.0832587
87,119.4270367
88,126.6338406
89,112.4888093
90,99.59713518
91,96.68755595
92,97.71709937
93,104.1629364
94,105.908684
95,110.4744852
96,128.3795882
97,132.2291853
98,140.5102954
99,125.1566697
100,149.3733214
101,150.5819158
102,126.5890779
103,121.3518353
104,123.4109221
105,127.6186213
106,134.8254252
107,140.3760072
108,132.8111012
109,134.8254252
110,145.7027753
111,133.213966
112,146.5532677
113,159.8030439
114,136.3921218
115,130.7072516
116,121.0832587
117,131.1996419
118,135.6311549
119,139.659803
120,146.1056401
121,139.659803
122,156.9382274
123,135.5416294
124,157.743957
125,147.8066249
126,135.7654432
127,121.217547
128,114.7717099
129,133.393017
130,133.6615936
131,139.0778872
132,148.8361683
133,152.5067144
134,156.5801253
135,158.2363474
136,154.1181737
137,161.996419
138,146.5085049
139,135.049239
140,128.8272158
141,139.7493286
142,141.5398389
143,159.3106535
144,166.6965085
145,152.3276634
146,162.9811996
147,152.0590868
148,199.0599821
149,158.5496867
150,151.9247986
151,135.8102059
152,135.2730528
153,138.2721576
154,152.5067144
155,156.1324978
156,160.6087735
157,152.1933751
158,160.87735
159,145.4789615
160,170.9042077
161,164.8612355
162,148.6123545
163,138.5407341
164,137.7350045
165,148.1647269
166,155.3715309
167,160.0268577
