to_be_index,t
0,147.3471041
1,154.4349939
2,153.5034427
3,152.9364115
4,163.9935196
5,131.4702309
6,142.1223167
7,147.0635885
8,154.5565006
9,150.9923046
10,139.6516808
11,144.0664237
12,128.2300527
13,127.3795059
14,144.5929526
15,137.1405427
16,144.835966
17,149.6557311
18,143.8234103
19,141.4337789
20,130.3766707
21,137.7885784
22,138.6796274
23,137.7480761
24,118.6310247
25,115.1883354
26,119.036047
27,121.2231673
28,134.7509113
29,128.473066
30,137.2215472
31,129.4046173
32,127.1769947
33,136.3710004
34,143.2563791
35,133.45484
36,143.7424058
37,148.8051843
38,150.0202511
39,135.4394492
40,144.9574727
41,147.0635885
42,148.926691
43,150.708789
44,147.7116241
45,152.0858647
46,153.9894694
47,154.0704739
48,144.0259214
49,130.3361685
50,148.2381531
51,132.1587687
52,160.5913325
53,156.5411098
54,154.0704739
55,157.4321588
56,144.3499392
57,148.0761442
58,154.0299716
59,153.5844471
60,160.2268125
61,160.2673147
62,168.0842446
63,154.9615229
64,163.6695018
65,163.7100041
66,159.6597813
67,162.6164439
68,157.3916565
69,165.4921021
70,159.781288
71,185.5002025
72,174.0785743
73,164.8035642
74,172.5799919
75,168.691778
76,172.2964763
77,172.1344674
78,172.782503
79,169.5018226
80,173.309032
81,187.6873228
82,175.3746456
83,193.9651681
84,177.5617659
85,163.9530174
86,178.1692993
87,176.3061968
88,167.6792224
89,165.5326043
90,170.4738761
91,154.272985
92,161.1583637
93,180.0324018
94,173.309032
95,179.3033617
96,176.7517213
97,176.1846902
98,184.8116646
99,180.3159174
100,190.9680032
101,182.0575132
102,179.6678817
103,184.2446335
104,176.1441879
105,187.9708384
106,202.5111381
107,190.0769542
108,188.6998785
109,184.2446335
110,206.7233698
111,191.7375456
112,199.0684488
113,203.5236938
114,192.8311057
115,183.8396112
116,173.7140543
117,190.0769542
118,202.0656136
119,207.8979344
120,190.8059943
121,203.0781693
122,207.290401
123,189.8744431
124,214.2972864
125,212.9202106
126,198.5014176
127,200
128,195.909275
129,211.4621304
130,212.4341839
131,215.5123532
132,190.2794654
133,193.8841636
134,202.5921426
135,200.2025111
136,214.054273
137,207.4524099
138,202.4301337
139,186.7152693
140,181.1259619
141,191.0085055
142,210.9761037
143,213.6492507
144,200.4455245
145,184.4066424
146,207.7764277
147,208.8294856
148,233.3333333
149,207.7764277
150,203.5236938
151,190.6439854
152,193.3576347
153,210.9761037
154,224.1393277
155,224.9493722
156,215.9983799
157,204.6982584
158,215.309842
159,198.6634265
160,215.9578777
161,214.0137708
162,206.3183475
163,208.3434589
164,191.1705144
165,207.7359255
166,217.9424868
167,218.144998
