to_be_index,t
0,75.46666667
1,67.46666667
2,96.26666667
3,85.06666667
4,80.26666667
5,66.4
6,69.33333333
7,70.4
8,67.2
9,72.26666667
10,67.46666667
11,74.13333333
12,107.7333333
13,96.8
14,107.7333333
15,86.93333333
16,100.8
17,93.06666667
18,88.26666667
19,107.2
20,98.13333333
21,99.73333333
22,113.0666667
23,104
24,100.8
25,84
26,96
27,89.6
28,93.06666667
29,94.66666667
30,91.46666667
31,90.66666667
32,97.06666667
33,94.66666667
34,94.93333333
35,94.13333333
36,88.53333333
37,86.66666667
38,90.93333333
39,81.06666667
40,89.6
41,87.2
42,68.8
43,83.46666667
44,80.53333333
45,97.06666667
46,95.2
47,97.6
48,134.9333333
49,140
50,137.8666667
51,114.4
52,126.1333333
53,130.9333333
54,120.2666667
55,138.1333333
56,122.6666667
57,135.7333333
58,121.6
59,123.4666667
60,125.0666667
61,126.1333333
62,142.1333333
63,125.8666667
64,141.3333333
65,131.2
66,135.2
67,117.8666667
68,128
69,132
70,152.5333333
71,142.9333333
72,146.9333333
73,145.6
74,158.1333333
75,149.8666667
76,145.8666667
77,130.6666667
78,116.8
79,118.1333333
80,123.4666667
81,122.9333333
82,110.9333333
83,130.1333333
84,144.5333333
85,147.4666667
86,154.4
87,143.4666667
88,140.2666667
89,133.8666667
90,138.9333333
91,145.3333333
92,142.4
93,132
94,142.1333333
95,139.7333333
96,163.2
97,166.4
98,165.3333333
99,165.6
100,168.2666667
101,156.2666667
102,155.2
103,143.2
104,158.9333333
105,164.5333333
106,159.4666667
107,176.2666667
108,176.5333333
109,176.5333333
110,191.2
111,174.1333333
112,153.6
113,158.1333333
114,167.2
115,166.6666667
116,189.6
117,188.5333333
118,178.1333333
119,181.0666667
120,207.2
121,195.7333333
122,228.2666667
123,188.5333333
124,185.0666667
125,192.8
126,184
127,185.8666667
128,180.5333333
129,200.8
130,206.4
131,211.7333333
132,217.6
133,220.5333333
134,215.7333333
135,217.6
136,204.8
137,197.0666667
138,184.8
139,182.1333333
140,163.2
141,200.8
142,192
143,211.2
144,222.1333333
145,196.8
146,216.5333333
147,224
148,209.0666667
149,206.1333333
150,191.2
151,193.3333333
152,211.7333333
153,242.6666667
154,226.6666667
155,219.4666667
156,230.4
157,213.0666667
158,239.4666667
159,215.2
160,203.2
161,181.6
162,200.8
163,184.2666667
164,173.8666667
165,227.2
166,211.2
167,208.8
