to_be_index,t
0,591.6666667
1,589.4026975
2,616.8111753
3,603.1310212
4,631.8400771
5,594.8458574
6,573.0250482
7,581.1657033
8,575.3853565
9,572.7842004
10,596.0500963
11,625.3853565
12,615.3660886
13,594.9903661
14,630.3949904
15,658.2369942
16,706.0693642
17,637.283237
18,607.9961464
19,611.416185
20,611.9942197
21,611.849711
22,596.8689788
23,645.2312139
24,627.0712909
25,585.4527938
26,609.4894027
27,581.5510597
28,654.0944123
29,627.504817
30,595.7129094
31,618.2080925
32,623.0732177
33,639.5472062
34,631.6473988
35,673.8921002
36,685.4046243
37,680.7803468
38,698.6030829
39,679.7687861
40,691.955684
41,665.1734104
42,645.6647399
43,674.4701349
44,672.9287091
45,667.9190751
46,674.3256262
47,724.8554913
48,938.9210019
49,892.5337187
50,945.327553
51,914.9807322
52,1006.117534
53,756.3583815
54,648.6030829
55,657.8034682
56,649.566474
57,660.5973025
58,643.3044316
59,695.1830443
60,747.6878613
61,684.8747592
62,758.8631985
63,746.3872832
64,808.0924855
65,723.2177264
66,683.9595376
67,726.0597303
68,708.5741811
69,706.6473988
70,688.7764933
71,758.477842
72,789.5953757
73,728.7572254
74,775.5298651
75,816.2331407
76,848.7475915
77,751.2042389
78,712.0423892
79,741.522158
80,699.9036609
81,734.2003854
82,735.4046243
83,766.3776493
84,774.6146435
85,731.5992293
86,779.8651252
87,815.6069364
88,808.7186898
89,731.2620424
90,710.2601156
91,731.6473988
92,704.5279383
93,724.1811175
94,709.344894
95,738.150289
96,747.4470135
97,710.6936416
98,754.9132948
99,728.6127168
100,809.2003854
101,764.7880539
102,704.8651252
103,728.1791908
104,702.4566474
105,721.4836224
106,711.3198459
107,752.8420039
108,782.61079
109,750.0963391
110,812.5240848
111,804.3352601
112,851.3487476
113,763.150289
114,708.8631985
115,718.2080925
116,710.7899807
117,721.5317919
118,732.4662813
119,734.9229287
120,777.6493256
121,723.8921002
122,809.344894
123,740.3179191
124,837.5240848
125,781.3102119
126,732.5626204
127,698.0732177
128,724.9518304
129,700.7225434
130,715.9922929
131,758.1888247
132,789.1618497
133,762.2350674
134,779.4315992
135,785.7899807
136,779.1907514
137,741.1368015
138,725.9633911
139,745.761079
140,706.2138728
141,728.7090559
142,720.4238921
143,778.5163776
144,788.583815
145,730.4431599
146,769.894027
147,759.2967245
148,838.5356455
149,736.416185
150,668.9788054
151,707.5144509
152,715.22158
153,691.8593449
154,710.7899807
155,750.0963391
156,805.105973
157,747.0134875
158,783.9595376
159,734.4412331
160,814.6435453
161,778.2273603
162,729.3352601
163,764.1618497
164,730.5876686
165,739.5953757
166,712.283237
167,815.1734104
