to_be_index,t
0,332.967581
1,319.6009975
2,345.5860349
3,345.8354115
4,382.7431421
5,330.074813
6,288.3291771
7,299.0024938
8,293.765586
9,317.6558603
10,325.7356608
11,331.4713217
12,333.2169576
13,313.3665835
14,323.8902743
15,340.8977556
16,393.6658354
17,346.5336658
18,316.5087282
19,309.3266833
20,311.8703242
21,332.6683292
22,332.0698254
23,339.6508728
24,363.2418953
25,331.4214464
26,326.5835411
27,334.563591
28,401.2468828
29,357.2568579
30,330.8229426
31,342.9426434
32,341.8453865
33,374.9127182
34,360.3491272
35,360.9975062
36,382.9426434
37,367.032419
38,369.0274314
39,377.755611
40,417.1571072
41,370.5236908
42,334.4638404
43,309.127182
44,349.6259352
45,353.6159601
46,377.1571072
47,370.723192
48,377.1072319
49,352.0698254
50,374.8628429
51,375.2618454
52,453.5660848
53,393.4164589
54,342.5935162
55,333.0174564
56,332.6683292
57,362.8428928
58,386.9825436
59,370.0249377
60,401.8453865
61,376.4089776
62,409.7755611
63,418.1546135
64,482.6433915
65,397.605985
66,358.7032419
67,332.5187032
68,358.8528678
69,401.9451372
70,390.2244389
71,405.8852868
72,443.19202
73,416.0099751
74,438.1546135
75,467.8802993
76,500.5985037
77,420.7481297
78,369.8254364
79,377.2568579
80,382.8927681
81,406.9825436
82,431.5710723
83,398.0049875
84,430.6733167
85,420.0997506
86,432.8179551
87,462.4937656
88,471.8204489
89,405.1371571
90,370.6733167
91,359.3017456
92,372.4688279
93,403.1421446
94,391.6708229
95,396.8578554
96,410.9725686
97,398.6034913
98,423.1421446
99,427.0822943
100,470.6234414
101,415.361596
102,357.8553616
103,382.3441397
104,396.1097257
105,404.5885287
106,396.5586035
107,417.0074813
108,439.9501247
109,408.3291771
110,431.2718204
111,431.4713217
112,479.9501247
113,428.5785536
114,382.1446384
115,355.8104738
116,371.3216958
117,400.4987531
118,427.1321696
119,430.723192
120,473.2668329
121,445.5860349
122,456.8578554
123,435.4114713
124,523.3416459
125,444.5386534
126,408.2793017
127,389.1770574
128,389.8254364
129,419.3017456
130,429.3266833
131,428.2294264
132,455.6109726
133,422.6433915
134,427.9800499
135,435.9600998
136,452.1695761
137,426.3840399
138,394.9127182
139,378.553616
140,365.9850374
141,392.6683292
142,405.0374065
143,418.2044888
144,440
145,402.5436409
146,428.2793017
147,417.4064838
148,475.361596
149,409.1770574
150,354.9127182
151,344.5386534
152,367.7805486
153,378.7531172
154,396.80798
155,411.2219451
156,427.7805486
157,399.1022444
158,420.8478803
159,403.7406484
160,460.6483791
161,415.9102244
162,374.9127182
163,363.840399
164,345.5361596
165,371.8204489
166,379.7506234
167,394.3640898
